Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
Faculty Chair Endowments,Denver,College of Agriculture and Natural Resources,Endowment,10906.5,2015-08-06,Environmental Studies and Agriscience,1547,CO
Trustees Fund,Seattle,College of Natural Science,Endowment,1797,2015-01-10,Microbiology,1548,WA
College of Agriculture and Natural Resources,Seattle,College of Natural Science,Scholarship,1797,2015-04-13,Microbiology,1548,WA
Faculty Chair Endowments,Orlando,College of Business,Endowment,8323,2015-01-25,Finance,1549,FL
College of Nursing,Orlando,College of Business,Scholarship,8323,2015-03-23,Finance,1549,FL
College of Social Science,Alexandria,College of Communication Arts and Sciences,Scholarship,2402,2015-02-26,Media and Information,1550,VA
Parents Association,Alexandria,College of Communication Arts and Sciences,Campus Resource,2402,2015-02-18,Media and Information,1550,VA
Honors Program,Austin,College of Arts and Sciences,Campus Resource,3404,2015-12-24,Humanities-Prelaw,1551,TX
In-State Scholarship Fund,Austin,College of Arts and Sciences,Scholarship,3404,2015-05-17,Humanities-Prelaw,1551,TX
Alumni Association,San Francisco,College of Social Science,Campus Resource,7931,2015-11-30,Geographic Information Science,1552,CA
College of Agriculture and Natural Resources,San Francisco,College of Social Science,Scholarship,7931,2015-09-06,Geographic Information Science,1552,CA
Trustees Fund,Seattle,College of Social Science,Endowment,5245,2015-04-21,History,1553,WA
Trustees Fund,Seattle,College of Social Science,Endowment,5245,2015-02-06,History,1553,WA
Honors Program,Atlanta,College of Agriculture and Natural Resources,Campus Resource,6400,2015-08-18,Agriculture and Natural Resources-No Preference,1554,GA
Parents Association,Atlanta,College of Agriculture and Natural Resources,Campus Resource,6400,2015-01-19,Agriculture and Natural Resources-No Preference,1554,GA
Diversity Fund,Hartford,College of Political Science,Endowment,5163,2015-05-27,Comparative Cultures and Politics,1555,CT
College of Natural Science,Hartford,College of Political Science,Scholarship,5163,2015-12-15,Comparative Cultures and Politics,1555,CT
Faculty Chair Endowments,Dallas,College of Social Science,Endowment,9332,2015-01-28,Political Science,1556,TX
University Annual Fund,Dallas,College of Social Science,Endowment,9332,2015-08-31,Political Science,1556,TX
Alumni Association,San Francisco,College of Arts and Sciences,Campus Resource,7976,2015-04-29,Spanish,1557,CA
Diversity Fund,San Francisco,College of Arts and Sciences,Endowment,7976,2015-09-30,Spanish,1557,CA
Athletics,Mobile,College of Business,Campus Resource,8426,2015-08-28,Marketing,1558,AL
College of Natural Science,Mobile,College of Business,Scholarship,8426,2015-06-26,Marketing,1558,AL
Diversity Fund,Los Angeles,College of Business,Endowment,5782,2015-04-27,General Management,1559,CA
Campus Recreation,Los Angeles,College of Business,Campus Resource,5782,2015-01-08,General Management,1559,CA
College of Social Science,Boston,College of Arts and Sciences,Scholarship,6248,2015-08-15,Linguistics,1560,MA
College of Social Science,Boston,College of Arts and Sciences,Scholarship,6248,2015-12-14,Linguistics,1560,MA
College of Natural Science,Dallas,College of Social Science,Scholarship,1824,2015-06-21,Criminal Justice,1561,TX
Trustees Fund,Dallas,College of Social Science,Endowment,1824,2015-07-22,Criminal Justice,1561,TX
College of Music,Washington,College of Nursing,Scholarship,5240,2015-02-07,Summer Research Program,1562,DC
University Annual Fund,Washington,College of Nursing,Endowment,5240,2015-07-10,Summer Research Program,1562,DC
Diversity Fund,Boston,College of Arts and Sciences,Endowment,5475,2015-12-01,Professional Writing,1563,MA
College of Arts and Sciences,Boston,College of Arts and Sciences,Scholarship,5475,2015-06-22,Professional Writing,1563,MA
College of Natural Science,Las Vegas,College of Agriculture and Natural Resources,Scholarship,6246,2015-08-08,Landscape Architecture,1564,NV
Diversity Fund,Las Vegas,College of Agriculture and Natural Resources,Endowment,6246,2015-09-28,Landscape Architecture,1564,NV
University Annual Fund,Amarillo,College of Arts and Sciences,Endowment,1634,2015-06-13,Experience Architecture,1565,TX
Minority Scholarship Fund,Amarillo,College of Arts and Sciences,Scholarship,1634,2015-03-09,Experience Architecture,1565,TX
College of Engineering,Detroit,College of Agriculture and Natural Resources,Scholarship,6345,2015-11-28,Fisheries and Wildlife,1566,MI
Faculty Chair Endowments,Detroit,College of Agriculture and Natural Resources,Endowment,6345,2015-12-17,Fisheries and Wildlife,1566,MI
In-State Scholarship Fund,Overland Park,College of Veterinary Medicine,Scholarship,1848,2015-01-31,Preveterinary,1567,KS
College of Arts and Sciences,Overland Park,College of Veterinary Medicine,Scholarship,1848,2015-09-30,Preveterinary,1567,KS
Trustees Fund,Detroit,College of Nursing,Endowment,8298,2015-07-12,Summer Research Program,1568,MI
University Annual Fund,Detroit,College of Nursing,Endowment,8298,2015-01-29,Summer Research Program,1568,MI
Trustees Fund,Miami,College of Social Science,Endowment,7362,2015-11-09,Sociology,1569,FL
University Libraries,Miami,College of Social Science,Campus Resource,7362,2015-01-10,Sociology,1569,FL
College of Engineering,Seattle,College of Engineering,Scholarship,3403,2015-11-22,Engineering-No Major,1570,WA
Honors Program,Seattle,College of Engineering,Campus Resource,3403,2015-10-10,Engineering-No Major,1570,WA
College of Agriculture and Natural Resources,Orlando,College of Engineering,Scholarship,3677,2015-04-06,Engineering-No Major,1571,FL
College of Agriculture and Natural Resources,Orlando,College of Engineering,Scholarship,3677,2015-10-11,Engineering-No Major,1571,FL
In-State Scholarship Fund,Tucson,College of Communication Arts and Sciences,Scholarship,3865,2015-07-28,Media and Information,1572,AZ
Faculty Chair Endowments,Tucson,College of Communication Arts and Sciences,Endowment,3865,2015-02-07,Media and Information,1572,AZ
Trustees Fund,Los Angeles,College of Agriculture and Natural Resources,Endowment,1624,2015-08-10,Landscape Architecture,1573,CA
University Annual Fund,Los Angeles,College of Agriculture and Natural Resources,Endowment,1624,2015-10-31,Landscape Architecture,1573,CA
College of Agriculture and Natural Resources,Phoenix,College of Arts and Sciences,Scholarship,960,2015-04-16,Philosophy,1574,AZ
College of Agriculture and Natural Resources,Phoenix,College of Arts and Sciences,Scholarship,960,2015-08-25,Philosophy,1574,AZ
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,3230,2015-12-30,Food Industry Management,1575,IL
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,3230,2015-10-12,Food Industry Management,1575,IL
Trustees Fund,Phoenix,College of Business,Endowment,2679,2011-07-15,Finance,1576,AZ
Campus Museums,Phoenix,College of Business,Campus Resource,2679,2015-10-25,Finance,1576,AZ
College of Social Science,Louisville,College of Social Science,Scholarship,6812,2010-02-16,Urban and Regional Planning,1577,KY
Faculty Chair Endowments,Louisville,College of Social Science,Endowment,6812,2015-02-10,Urban and Regional Planning,1577,KY
Minority Scholarship Fund,Tallahassee,College of Business,Scholarship,7746,2011-11-07,General Management,1578,FL
University Annual Fund,Tallahassee,College of Business,Endowment,7746,2015-02-26,General Management,1578,FL
University Libraries,Nashville,College of Education,Campus Resource,6378,2010-04-28,Education,1579,TN
In-State Scholarship Fund,Nashville,College of Education,Scholarship,6378,2015-06-17,Education,1579,TN
Athletics,Miami,College of Arts and Sciences,Campus Resource,5494,2011-05-01,English,1580,FL
College of Arts and Sciences,Miami,College of Arts and Sciences,Scholarship,5494,2015-12-06,English,1580,FL
College of Arts and Sciences,New York,College of Music,Scholarship,182,2010-03-06,Music,1581,NY
College of Social Science,New York,College of Music,Scholarship,182,2015-08-25,Music,1581,NY
College of Natural Science,Columbia,College of Communication Arts and Sciences,Scholarship,3336,2011-11-28,Journalism,1582,SC
College of Natural Science,Columbia,College of Communication Arts and Sciences,Scholarship,3336,2015-02-02,Journalism,1582,SC
College of Business,Detroit,College of Agriculture and Natural Resources,Scholarship,9990,2010-08-05,Food Science,1583,MI
Trustees Fund,Detroit,College of Agriculture and Natural Resources,Endowment,9990,2015-01-15,Food Science,1583,MI
College of Social Science,Denver,College of Natural Science,Scholarship,9541.5,2011-11-16,Physical Science Interdepartmental,1584,CO
College of Agriculture and Natural Resources,Denver,College of Natural Science,Scholarship,9541.5,2015-12-22,Physical Science Interdepartmental,1584,CO
College of Agriculture and Natural Resources,Washington,College of Agriculture and Natural Resources,Scholarship,1441,2010-05-25,Environmental Economics and Policy,1585,DC
Diversity Fund,Washington,College of Agriculture and Natural Resources,Endowment,1441,2015-01-16,Environmental Economics and Policy,1585,DC
University Annual Fund,Cleveland,College of Social Science,Endowment,8712,2011-01-01,Economics,1586,OH
College of Arts and Sciences,Cleveland,College of Social Science,Scholarship,8712,2015-05-18,Economics,1586,OH
College of Arts and Sciences,Eugene,College of Communication Arts and Sciences,Scholarship,8290,2010-04-26,Journalism,1587,OR
In-State Scholarship Fund,Eugene,College of Communication Arts and Sciences,Scholarship,8290,2015-09-19,Journalism,1587,OR
Trustees Fund,Denver,College of Arts and Sciences,Endowment,13408.5,2011-10-09,Chinese,1588,CO
Faculty Chair Endowments,Denver,College of Arts and Sciences,Endowment,13408.5,2015-07-05,Chinese,1588,CO
Faculty Chair Endowments,Memphis,College of Political Science,Endowment,8665,2010-11-15,Social Relations and Policy,1589,TN
College of Arts and Sciences,Memphis,College of Political Science,Scholarship,8665,2015-01-09,Social Relations and Policy,1589,TN
College of Agriculture and Natural Resources,Kansas City,College of Agriculture and Natural Resources,Scholarship,554,2011-03-08,Food Industry Management,1590,MO
College of Agriculture and Natural Resources,Kansas City,College of Agriculture and Natural Resources,Scholarship,554,2015-12-23,Food Industry Management,1590,MO
Diversity Fund,Fort Lauderdale,College of Agriculture and Natural Resources,Endowment,3896,2010-12-30,Packaging,1591,FL
College of Natural Science,Fort Lauderdale,College of Agriculture and Natural Resources,Scholarship,3896,2015-03-25,Packaging,1591,FL
Diversity Fund,Seattle,College of Agriculture and Natural Resources,Endowment,8592,2011-07-15,Horticulture,1592,WA
Diversity Fund,Seattle,College of Agriculture and Natural Resources,Endowment,8592,2015-05-05,Horticulture,1592,WA
Minority Scholarship Fund,Lexington,College of Natural Science,Scholarship,5524,2010-05-06,Actuarial Science,1593,KY
Diversity Fund,Lexington,College of Natural Science,Endowment,5524,2015-06-15,Actuarial Science,1593,KY
Campus Recreation,Madison,College of Engineering,Campus Resource,1778,2011-10-28,Mechanical Engineering,1594,WI
College of Engineering,Madison,College of Engineering,Scholarship,1778,2015-02-23,Mechanical Engineering,1594,WI
University Annual Fund,Denver,College of Arts and Sciences,Endowment,2718,2010-11-09,Art Education,1595,CO
Alumni Association,Denver,College of Arts and Sciences,Campus Resource,2718,2015-12-05,Art Education,1595,CO
In-State Scholarship Fund,Houston,College of Engineering,Scholarship,8893,2011-06-14,Applied Engineering Sciences,1596,TX
College of Agriculture and Natural Resources,Houston,College of Engineering,Scholarship,8893,2015-06-22,Applied Engineering Sciences,1596,TX
Parents Association,Colorado Springs,College of Arts and Sciences,Campus Resource,9066,2010-02-26,German,1597,CO
Faculty Chair Endowments,Colorado Springs,College of Arts and Sciences,Endowment,9066,2015-06-24,German,1597,CO
College of Natural Science,Anaheim,College of Arts and Sciences,Scholarship,5188,2011-10-02,Global Studies in the Arts and Humanities,1598,CA
University Annual Fund,Anaheim,College of Arts and Sciences,Endowment,5188,2015-01-11,Global Studies in the Arts and Humanities,1598,CA
College of Arts and Sciences,Denver,College of Engineering,Scholarship,2350.5,2010-05-25,Electrical Engineering,1599,CO
Faculty Chair Endowments,Denver,College of Engineering,Endowment,2350.5,2015-03-07,Electrical Engineering,1599,CO
College of Arts and Sciences,Mobile,College of Natural Science,Scholarship,4743,2011-10-25,Mathematics,1600,AL
University Annual Fund,Mobile,College of Natural Science,Endowment,4743,2015-10-18,Mathematics,1600,AL
Parents Association,Colorado Springs,College of Arts and Sciences,Campus Resource,1720,2010-09-13,French,1601,CO
Diversity Fund,Colorado Springs,College of Arts and Sciences,Endowment,1720,2015-01-19,French,1601,CO
Honors Program,Sacramento,College of Business,Campus Resource,2779,2011-11-15,Marketing,1602,CA
Athletics,Sacramento,College of Business,Campus Resource,2779,2015-01-22,Marketing,1602,CA
College of Social Science,Des Moines,College of Agriculture and Natural Resources,Scholarship,1587,2010-08-30,Nutritional Sciences,1603,IA
University Annual Fund,Des Moines,College of Agriculture and Natural Resources,Endowment,1587,2015-02-12,Nutritional Sciences,1603,IA
Minority Scholarship Fund,Cincinnati,College of Arts and Sciences,Scholarship,7391,2011-08-04,Theatre,1604,OH
Faculty Chair Endowments,Cincinnati,College of Arts and Sciences,Endowment,7391,2015-06-26,Theatre,1604,OH
University Annual Fund,St. Louis,College of Natural Science,Endowment,605,2010-04-22,Environmental Geosciences,1605,MO
College of Arts and Sciences,St. Louis,College of Natural Science,Scholarship,605,2015-11-21,Environmental Geosciences,1605,MO
College of Arts and Sciences,Los Angeles,College of Agriculture and Natural Resources,Scholarship,1620,2011-05-08,Environmental Economics and Policy,1606,CA
Faculty Chair Endowments,Los Angeles,College of Agriculture and Natural Resources,Endowment,1620,2015-02-08,Environmental Economics and Policy,1606,CA
College of Engineering,Denver,College of Natural Science,Scholarship,3829.5,2010-05-07,Environmental Biology/Microbiology,1607,CO
In-State Scholarship Fund,Denver,College of Natural Science,Scholarship,3829.5,2015-02-12,Environmental Biology/Microbiology,1607,CO
University Annual Fund,Tallahassee,College of Political Science,Endowment,9783,2011-07-27,Comparative Cultures and Politics,1608,FL
Diversity Fund,Tallahassee,College of Political Science,Endowment,9783,2015-09-13,Comparative Cultures and Politics,1608,FL
Alumni Association,Kansas City,College of Social Science,Campus Resource,8976,2010-09-10,Public Policy,1609,MO
Alumni Association,Kansas City,College of Social Science,Campus Resource,8976,2015-03-27,Public Policy,1609,MO
Diversity Fund,Denver,College of Nursing,Endowment,5706,2011-12-27,Summer Research Program,1610,CO
College of Natural Science,Denver,College of Nursing,Scholarship,5706,2015-08-11,Summer Research Program,1610,CO
Trustees Fund,Memphis,College of Natural Science,Endowment,1433,2010-02-20,Astrophysics,1611,TN
University Annual Fund,Memphis,College of Natural Science,Endowment,1433,2015-10-04,Astrophysics,1611,TN
University Annual Fund,Reno,College of Agriculture and Natural Resources,Endowment,4948,2011-09-15,Horticulture,1612,NV
Parents Association,Reno,College of Agriculture and Natural Resources,Campus Resource,4948,2015-07-04,Horticulture,1612,NV
College of Natural Science,Albuquerque,College of Arts and Sciences,Scholarship,9062,2010-07-13,Global Studies in the Arts and Humanities,1613,NM
Trustees Fund,Albuquerque,College of Arts and Sciences,Endowment,9062,2015-11-29,Global Studies in the Arts and Humanities,1613,NM
University Annual Fund,Phoenix,College of Music,Endowment,5040,2011-09-05,Composition,1614,AZ
Athletics,Phoenix,College of Music,Campus Resource,5040,2015-05-09,Composition,1614,AZ
Minority Scholarship Fund,Denver,College of Social Science,Scholarship,4381.5,2010-04-05,Interdisciplinary Studies in Social Science - Social Science Education,1615,CO
Campus Museums,Denver,College of Social Science,Campus Resource,4381.5,2015-12-09,Interdisciplinary Studies in Social Science - Social Science Education,1615,CO
College of Agriculture and Natural Resources,Seattle,College of Arts and Sciences,Scholarship,8474,2010-03-08,Spanish,1616,WA
University Annual Fund,Seattle,College of Arts and Sciences,Endowment,8474,2015-08-07,Spanish,1616,WA
Trustees Fund,Lansing,College of Social Science,Endowment,5550,2011-08-03,Political Science-Prelaw,1617,MI
University Annual Fund,Lansing,College of Social Science,Endowment,5550,2015-06-07,Political Science-Prelaw,1617,MI
Alumni Association,Philadelphia,College of Social Science,Campus Resource,9462,2010-08-11,Criminal Justice,1618,PA
Athletics,Philadelphia,College of Social Science,Campus Resource,9462,2015-09-04,Criminal Justice,1618,PA
Alumni Association,Denver,College of Communication Arts and Sciences,Campus Resource,696,2011-03-01,Journalism,1619,CO
Diversity Fund,Denver,College of Communication Arts and Sciences,Endowment,696,2015-10-23,Journalism,1619,CO
Diversity Fund,Seattle,College of Natural Science,Endowment,7437,2010-05-18,Plant Biology,1620,WA
College of Nursing,Seattle,College of Natural Science,Scholarship,7437,2015-12-25,Plant Biology,1620,WA
University Libraries,San Francisco,College of Engineering,Campus Resource,1198,2011-12-19,Materials Science and Engineering,1621,CA
College of Agriculture and Natural Resources,San Francisco,College of Engineering,Scholarship,1198,2015-10-10,Materials Science and Engineering,1621,CA
College of Social Science,Cedar Rapids,College of Social Science,Scholarship,8789,2010-05-22,Human Development and Family Studies,1622,IA
Alumni Association,Cedar Rapids,College of Social Science,Campus Resource,8789,2015-06-18,Human Development and Family Studies,1622,IA
Campus Recreation,Fort Lauderdale,College of Natural Science,Campus Resource,4018,2011-11-25,Physical Science Interdepartmental,1623,FL
University Annual Fund,Fort Lauderdale,College of Natural Science,Endowment,4018,2015-03-22,Physical Science Interdepartmental,1623,FL
Faculty Chair Endowments,Chicago,College of Nursing,Endowment,5715,2010-11-22,Prenursing,1624,IL
University Annual Fund,Chicago,College of Nursing,Endowment,5715,2015-01-23,Prenursing,1624,IL
University Annual Fund,Denver,College of Music,Endowment,14575.5,2011-03-08,Composition,1625,CO
College of Agriculture and Natural Resources,Denver,College of Music,Scholarship,14575.5,2015-09-12,Composition,1625,CO
Trustees Fund,Detroit,College of Nursing,Endowment,9117,2010-02-04,Summer Research Program,1626,MI
In-State Scholarship Fund,Detroit,College of Nursing,Scholarship,9117,2015-08-29,Summer Research Program,1626,MI
College of Agriculture and Natural Resources,Phoenix,College of Natural Science,Scholarship,4240,2011-02-26,Neuroscience,1627,AZ
Parents Association,Phoenix,College of Natural Science,Campus Resource,4240,2015-01-16,Neuroscience,1627,AZ
Trustees Fund,Oklahoma City,College of Arts and Sciences,Endowment,3281,2010-02-16,Studio Art,1628,OK
University Annual Fund,Oklahoma City,College of Arts and Sciences,Endowment,3281,2015-11-20,Studio Art,1628,OK
College of Music,Kansas City,College of Communication Arts and Sciences,Scholarship,600,2011-11-29,Journalism,1629,MO
Diversity Fund,Kansas City,College of Communication Arts and Sciences,Endowment,600,2015-09-19,Journalism,1629,MO
Campus Recreation,Indianapolis,College of Agriculture and Natural Resources,Campus Resource,6664,2010-05-01,Nutritional Sciences,1630,IN
Diversity Fund,Indianapolis,College of Agriculture and Natural Resources,Endowment,6664,2015-05-16,Nutritional Sciences,1630,IN
College of Social Science,Little Rock,College of Political Science,Scholarship,2414,2011-08-15,Comparative Cultures and Politics,1631,AR
Trustees Fund,Little Rock,College of Political Science,Endowment,2414,2015-10-05,Comparative Cultures and Politics,1631,AR
University Annual Fund,Denver,College of Natural Science,Endowment,517.5,2010-07-10,"Mathematics, Advanced",1632,CO
Diversity Fund,Denver,College of Natural Science,Endowment,517.5,2015-06-04,"Mathematics, Advanced",1632,CO
Honors Program,Hartford,College of Engineering,Campus Resource,1105,2011-04-10,Biosystems Engineering,1633,CT
Campus Recreation,Hartford,College of Engineering,Campus Resource,1105,2015-02-26,Biosystems Engineering,1633,CT
University Libraries,Denver,College of Arts and Sciences,Campus Resource,13741.5,2010-05-22,Art History and Visual Culture,1634,CO
Faculty Chair Endowments,Denver,College of Arts and Sciences,Endowment,13741.5,2015-03-26,Art History and Visual Culture,1634,CO
Campus Museums,Seattle,College of Natural Science,Campus Resource,5794,2011-04-03,Human Biology,1635,WA
College of Engineering,Seattle,College of Natural Science,Scholarship,5794,2015-01-28,Human Biology,1635,WA
In-State Scholarship Fund,Detroit,College of Music,Scholarship,816,2010-09-09,Jazz Studies,1636,MI
College of Social Science,Detroit,College of Music,Scholarship,816,2015-06-28,Jazz Studies,1636,MI
University Annual Fund,Jacksonville,College of Communication Arts and Sciences,Endowment,9908,2011-01-11,Media and Information,1637,FL
Trustees Fund,Jacksonville,College of Communication Arts and Sciences,Endowment,9908,2015-12-22,Media and Information,1637,FL
Diversity Fund,Lansing,College of Natural Science,Endowment,8160,2010-11-07,Biomedical Laboratory Science,1638,MI
College of Social Science,Lansing,College of Natural Science,Scholarship,8160,2015-03-21,Biomedical Laboratory Science,1638,MI
University Annual Fund,Hartford,College of Natural Science,Endowment,6334,2011-08-11,Microbiology,1639,CT
College of Arts and Sciences,Cedar Rapids,College of Music,Scholarship,9831,2010-08-07,Music Performance,1640,IA
Diversity Fund,Lincoln,College of Natural Science,Endowment,3648,2011-10-27,Plant Biology,1641,NE
Diversity Fund,Tallahassee,College of Social Science,Endowment,4409,2010-03-27,Urban and Regional Planning,1642,FL
University Annual Fund,Alexandria,College of Arts and Sciences,Endowment,6330,2011-11-27,German,1643,VA
Diversity Fund,Scottsdale,College of Arts and Sciences,Endowment,4635,2010-04-05,German,1644,AZ
Trustees Fund,Tallahassee,College of Arts and Sciences,Endowment,5818,2011-07-09,Humanities-Prelaw,1645,FL
Campus Recreation,Orlando,College of Engineering,Campus Resource,5976,2010-02-21,Materials Science and Engineering,1646,FL
University Annual Fund,St. Louis,College of Agriculture and Natural Resources,Endowment,7188,2011-06-11,Entomology,1647,MO
College of Agriculture and Natural Resources,Denver,College of Natural Science,Scholarship,12661.5,2010-09-11,Environmental Biology/Zoology,1648,CO
Trustees Fund,New York,College of Agriculture and Natural Resources,Endowment,7547,2011-09-15,Fisheries and Wildlife,1649,NY
University Annual Fund,San Diego,College of Natural Science,Endowment,1207,2010-10-04,Physical Science Interdepartmental,1650,CA
Diversity Fund,Amarillo,College of Arts and Sciences,Endowment,4894,2011-01-15,Apparel and Textile Design,1651,TX
University Annual Fund,Boston,College of Social Science,Endowment,6384,2010-05-03,Interdisciplinary Studies in Social Science,1652,MA
Honors Program,Houston,College of Natural Science,Campus Resource,2646,2011-11-04,Biochemistry and Molecular Biology,1653,TX
Campus Recreation,New York,College of Agriculture and Natural Resources,Campus Resource,5603,2010-04-09,Food Industry Management,1654,NY
College of Agriculture and Natural Resources,Dallas,College of Engineering,Scholarship,2468,2011-07-22,Mechanical Engineering,1655,TX
College of Agriculture and Natural Resources,St. Paul,College of Social Science,Scholarship,9377,2010-12-04,Urban and Regional Planning,1656,MN
Parents Association,Phoenix,College of Natural Science,Campus Resource,6148,2011-05-31,Earth Science Interdepartmental,1657,AZ
College of Agriculture and Natural Resources,Cincinnati,College of Arts and Sciences,Scholarship,7284,2010-12-19,Global Studies in the Arts and Humanities,1658,OH
College of Agriculture and Natural Resources,New Orleans,College of Engineering,Scholarship,7315,2011-02-15,Computer Engineering,1659,LA
University Annual Fund,Chicago,College of Natural Science,Endowment,6406,2010-11-10,Environmental Biology/Zoology,1660,IL
Faculty Chair Endowments,Austin,College of Business,Endowment,4217,2011-12-06,Marketing,1661,TX
In-State Scholarship Fund,Tallahassee,College of Social Science,Scholarship,3411,2010-03-20,Public Policy,1662,FL
Athletics,New York,College of Social Science,Campus Resource,4745,2011-05-18,Urban and Regional Planning,1663,NY
Athletics,Phoenix,College of Business,Campus Resource,5130,2010-08-14,Human Resource Management,1664,AZ
College of Social Science,Cincinnati,College of Business,Scholarship,1001,2011-01-20,Hospitality Business,1665,OH
Diversity Fund,Seattle,College of Arts and Sciences,Endowment,4680,2010-07-08,Arabic,1666,WA
Trustees Fund,Amarillo,College of Music,Endowment,8078,2011-03-13,Music Performance,1667,TX
Trustees Fund,New York,College of Natural Science,Endowment,8788,2010-06-04,Astrophysics,1668,NY
Athletics,Portland,College of Arts and Sciences,Campus Resource,3496,2011-05-11,Art Education,1669,OR
Diversity Fund,Alexandria,College of Social Science,Endowment,6230,2010-12-22,Urban and Regional Planning,1670,VA
Diversity Fund,Chicago,College of Veterinary Medicine,Endowment,8960,2011-02-02,Preveterinary,1671,IL
Athletics,St. Paul,College of Engineering,Campus Resource,9394,2010-04-19,Electrical Engineering,1672,MN
College of Natural Science,Tucson,College of Music,Scholarship,1858,2011-12-07,Music,1673,AZ
Diversity Fund,Los Angeles,College of Social Science,Endowment,6957,2010-04-04,Psychology,1674,CA
Trustees Fund,Indianapolis,College of Arts and Sciences,Endowment,7219,2011-12-27,English,1675,IN
College of Natural Science,Hartford,College of Social Science,Scholarship,724,2010-10-27,Interdisciplinary Studies in Social Science,1676,CT
College of Natural Science,Detroit,College of Education,Scholarship,9640,2011-10-22,Education,1677,MI
Campus Recreation,Phoenix,College of Natural Science,Campus Resource,584,2010-04-04,Chemical Physics,1678,AZ
Minority Scholarship Fund,Phoenix,College of Social Science,Scholarship,9532,2011-05-21,Human Development and Family Studies,1679,AZ
College of Arts and Sciences,Birmingham,College of Arts and Sciences,Scholarship,2966,2010-03-21,Women's and Gender Studies,1680,AL
College of Arts and Sciences,Orlando,College of Natural Science,Scholarship,5109,2011-03-16,Zoology,1681,FL
University Annual Fund,San Francisco,College of Social Science,Endowment,7862,2010-05-21,Human Development and Family Studies,1682,CA
Athletics,Amarillo,College of Social Science,Campus Resource,7242,2011-02-07,Geography,1683,TX
Trustees Fund,Mobile,College of Natural Science,Endowment,5444,2010-07-21,Biomedical Laboratory Science,1684,AL
Diversity Fund,Raleigh,College of Agriculture and Natural Resources,Endowment,1864,2011-05-27,Food Industry Management,1685,NC
Faculty Chair Endowments,Los Angeles,College of Arts and Sciences,Endowment,1115,2010-08-06,Theatre,1686,CA
Diversity Fund,San Antonio,College of Social Science,Endowment,999,2011-04-09,Public Policy,1687,TX
Campus Museums,Kansas City,College of Natural Science,Campus Resource,6217,2010-01-10,Plant Biology,1688,MO
Diversity Fund,Chicago,College of Natural Science,Endowment,9280,2011-06-17,Microbiology,1689,IL
Diversity Fund,New York,College of Natural Science,Endowment,7977,2010-04-13,Biochemistry and Molecular Biology/Biotechnology,1690,NY
Parents Association,Detroit,College of Engineering,Campus Resource,8898,2011-03-27,Applied Engineering Sciences,1691,MI
College of Agriculture and Natural Resources,Hartford,College of Natural Science,Scholarship,2267,2010-01-25,Genomics & Molecular Genetics,1692,CT
College of Agriculture and Natural Resources,Chicago,College of Nursing,Scholarship,2639,2011-03-16,Summer Research Program,1693,IL
University Annual Fund,Lansing,College of Arts and Sciences,Endowment,7590,2010-03-23,Studio Art,1694,MI
Diversity Fund,Indianapolis,College of Arts and Sciences,Endowment,3885,2011-02-04,Experience Architecture,1695,IN
College of Arts and Sciences,St. Paul,College of Arts and Sciences,Scholarship,1667,2010-02-26,French,1696,MN
College of Social Science,Dallas,College of Natural Science,Scholarship,9864,2011-02-23,Environmental Biology/Plant Biol,1697,TX
Trustees Fund,Kansas City,College of Natural Science,Endowment,8726,2010-02-18,Biological Science Interdepartmental,1698,MO
Faculty Chair Endowments,Charlotte,College of Natural Science,Endowment,9434,2011-01-23,Statistics,1699,NC
Trustees Fund,Portland,College of Agriculture and Natural Resources,Endowment,7618,2010-12-24,Landscape Architecture,1700,OR
College of Natural Science,Baton Rouge,College of Political Science,Scholarship,9314,2011-08-04,Comparative Cultures and Politics,1701,LA
College of Natural Science,Kansas City,College of Agriculture and Natural Resources,Scholarship,8197,2010-05-17,Food Science,1702,MO
College of Social Science,Nashville,College of Engineering,Scholarship,1553,2011-10-04,Biosystems Engineering,1703,TN
College of Social Science,Los Angeles,College of Agriculture and Natural Resources,Scholarship,2237,2010-11-30,Entomology,1704,CA
Honors Program,Boston,College of Social Science,Campus Resource,7773,2011-03-05,Political Science-Prelaw,1705,MA
In-State Scholarship Fund,Lansing,College of Agriculture and Natural Resources,Scholarship,9364,2010-09-06,Interior Design,1706,MI
Faculty Chair Endowments,North Las Vegas,College of Arts and Sciences,Endowment,1645,2013-12-21,Apparel and Textiles,1707,NV
College of Communication Arts and Sciences,El Paso,College of Music,Scholarship,6971,2010-04-21,Music Performance,1708,TX
College of Agriculture and Natural Resources,Tallahassee,College of Engineering,Scholarship,3263,2011-03-07,Applied Engineering Sciences,1709,FL
Alumni Association,Chicago,College of Natural Science,Campus Resource,7079,2013-02-18,Astrophysics,1710,IL
College of Agriculture and Natural Resources,Columbia,College of Arts and Sciences,Scholarship,3539,2010-02-06,Arabic,1711,SC
Faculty Chair Endowments,Seattle,College of Agriculture and Natural Resources,Endowment,3670,2011-07-15,Interior Design,1712,WA
College of Agriculture and Natural Resources,Phoenix,College of Agriculture and Natural Resources,Scholarship,2206,2013-03-29,Interior Design,1713,AZ
